                             MATêRIAS PRIMAS;;;;;;;;%;
DESCRIÄ«O;FORN.;LARG.;UNID.;CUSTO;AVISTA;% IPI;% ICM;FRETE;PIS+COFINS
;;;;;;;;;
;;;;;;;;;
FIO ELASTANO;;;;;;;;;
FIO 40/1;ITSPAN;;KG;30,70;38,50;0;12;1;9,25
;;;;;;;;;
;;;;;;;;;
FIO POLIêSTER;;;;;;;;;
FIO 74/36 TEXT CRU;SUECO;;KG;8,03;8,75;0;4;5;9,25
FIO 74/36 TEXT PRETO;AVANTI;;KG;8,26;9,00;0;4;5;9,25
FIO 74/24 LISO S. O.;POLIENKA;;KG;5,58;7,00;0;12;1;9,25
FIO 167/36 TEX CRU;POLIENKA;;KG;6,37;7,99;0;12;1;9,25
FIO 74/24 LISO BRILH;VICUNHA;;KG;7,18;9,00;0;12;1;9,25
FIO 78/77 CRU TEXT;POLIENKA;;KG;6,22;7,80;0;12;1;9,25
FIO 74/36 TEXT MARRON;POLIENKA;;KG;13,16;16,50;0;12;1;9,25
FIO 167/36 TEX PRETO;VICUNHA;;KG;6,30;7,90;0;12;1;9,25
FIO NYLON;;;;;;;;;
FIO 40/10 S. O.;VENTUNO;;KG;12,59;17,30;0;18;0;9,25
FIO 20/01 S. O. ;VENTUNO;;KG;14,69;20,19;0;18;0;9,25
;;;;;;;;;
LµTEX - DUBLAGEM;;;;;;;;;
TALBACOL T804;IQT;;KG;3,33;4,40;;18;3;9,25
NTL 520;NITRIFLEX;;KG;3,33;4,18;4;18;3;9,25
Anti espumante;Adesol;;KG;3,18;4,20;0;18;3;9,25
Amon°aco;;;KG;0,30;0,40;0;18;3;9,25
ESPESSANTE;IQT;;KG;3,94;5,20;0;18;3;9,25
PVA;;;KG;2,23;2,95;0;18;3;9,25
ACRILICO;;;KG;3,37;4,45;0;18;3;9,25
;;;;;;;;;
;;;;;;;;;
SERVIÄOS;;;;;;;;;
MOAGEM PEBD G803 (RP10);MICROSUL;;KG;1,00;1,10;0;0;0;9,25
M.D.O.MALHARIA PE CACHARREL;JAGUAR;;KG;1,82;2,00;0;0;0;9,25
M.D.O.MALHARIA PE LYCRA;JAGUAR;;KG;1,63;1,80;0;0;0;9,25
M.D.O.MALHARIA ALGOD«O;;;KG;0,00;0,00;0;0;0;9,25
;;;;;;;;;
SERVIÄOS;;;;;;;;;
JERSEY BCO;WT;;KG;3,09;3,41;0;0;0;9,25
JERSEY CORES;WT;;KG;3,79;4,18;0;0;0;9,25
JERSEY PRETO;WT;;KG;4,49;4,95;0;0;0;9,25
;;;;;;;;;
PLUMA BCO;CRYB;;KG;4,54;5,00;0;0;0;9,25
PLUMA CORES;CRYB;;KG;5,49;6,05;0;0;0;9,25
PLUMA PRETA;CRYB;;KG;5,49;6,05;0;0;0;9,25
;;;;;;;;;
CACHARREL BCO;WT;;KG;3,20;3,53;0;0;0;9,25
CACHARREL CORES;WT;;KG;3,63;4,00;0;0;0;9,25
CACHARREL PRETO;WT;;KG;4,61;5,08;0;0;0;9,25
;;;;;;;;;
CABEDAL BCO;WT;;KG;2,99;3,30;0;0;0;9,25
CABEDAL CORES;WT;;KG;3,54;3,90;0;0;0;9,25
